folder,files,set_id,signal_count,method,candidates
151,207,sv3-5,207,filename,"sv3-5:207,sv3:207"
ancient-origins,101,xy7,101,filename,xy7:101
aquapolis,182,ecard2,0,folder_name_tcgdex,ecard2
arceus,111,pl4,0,folder_name_tcgdex,pl4
astral-radiance,244,swsh10,244,filename,swsh10:244
best-of-game,9,bog,0,folder_name_tcgdex,bog
black-bolt,172,zsv10-5,172,filename,zsv10-5:172
boundaries-crossed,153,bw7,153,filename,bw7:153
box-topper,12,,0,unresolved,
breakpoint,126,xy9,126,filename,xy9:126
breakthrough,165,xy8,165,filename,xy8:165
brilliant-stars,215,swsh9,215,filename,swsh9:215
burning-shadows,192,sm3,192,filename,"sm3:192,sv15:1,sv34:1,sv35:1,sv36:1"
call-of-legends,106,col,106,filename,col:106
celebrations,50,ann25th,25,filename,"ann25th:25,ann25thr:25"
celestial-storm,200,sm7,200,filename,"sm7:200,sv1:1,sv13:1,sv16:1,sv32:1"
champions-path,80,cp,80,filename,cp:80
chilling-reign,231,swsh6,231,filename,swsh6:231
crimson-invasion,132,sm4,132,filename,"sm4:132,sv45:1,sv62:1,sv68:1,sv71:1"
crown-zenith,228,cz,228,filename,cz:228
crystal-guardians,100,ex14,0,folder_name_tcgdex,ex14
dark-explorers,111,bw5,110,filename,"bw5:110,xy5:1"
darkness-ablaze,199,swsh3,199,filename,swsh3:199
delta-species,114,ex11,2,filename,ex11:2
deoxys,108,ex08,1,filename,ex08:1
destined-rivals,244,sv10,244,filename,sv10:244
detective-pikachu,18,gum,18,filename,gum:18
double-crisis,34,tatm,34,filename,tatm:34
emerald,107,ex9,0,folder_name_tcgdex,ex9
emerging-powers,98,bw2,98,filename,bw2:98
evolutions,113,xy12,113,filename,xy12:113
evolving-skies,235,swsh7,235,filename,swsh7:235
expedition,165,,0,unresolved,
fates-collide,129,xy10,129,filename,xy10:129
firered-leafgreen,116,ex06,116,filename,ex06:116
flashfire,110,xy2,110,filename,xy2:110
forbidden-light,165,sm6,165,filename,"sm6:165,sv11:1,sv12:1,sv14:1,sv17:1"
fossil,62,base3,0,folder_name_tcgdex,base3
furious-fists,114,xy3,114,filename,xy3:114
holon-phantoms,111,ex13,0,folder_name_tcgdex,ex13
hs-energy-2010-unnumbered,8,,0,unresolved,
journey-together,190,sv9,190,filename,sv9:190
jungle,64,base2,0,folder_name_tcgdex,base2
kalos-starter-set,39,xy0,39,filename,xy0:39
majestic-dawn,100,dp5,0,folder_name_tcgdex,dp5
mee,8,mee,8,filename,mee:8
mega-evolution,188,me1,188,filename,me1:188
mega-evolution-promos,25,mebsp,25,filename,mebsp:25
miscellaneous,1,,0,unresolved,
mysterious-treasures,124,dp2,0,folder_name_tcgdex,dp2
next-destinies,103,bw4,103,filename,bw4:103
platinum,133,pl1,0,folder_name_tcgdex,pl1
pokemon-futsal-promos-2020,5,fut2020,5,filename,fut2020:5
power-keepers,108,ex16,0,folder_name_tcgdex,ex16
primal-clash,164,xy5,164,filename,xy5:164
prismatic-evolutions,180,sv8-5,180,filename,"sv8-5:180,sv8:180"
rebel-clash,209,swsh2,209,filename,swsh2:209
rising-rivals,120,pl2,0,folder_name_tcgdex,pl2
roaring-skies,112,xy6,112,filename,xy6:112
ruby-sapphire,109,ex1,21,filename,ex1:21
rumble,16,,0,unresolved,
sandstorm,100,ex2,0,folder_name_tcgdex,ex2
scarlet-violet,258,sv1,258,filename,sv1:258
scarlet-violet-energy,16,sve,16,filename,sve:16
scarlet-violet-promos,222,svbsp,207,filename,"svbsp:207,sv001:1,sv002:1,sv003:1"
secret-wonders,132,dp3,0,folder_name_tcgdex,dp3
southern-islands,18,si1,0,folder_name_tcgdex,si1
steam-siege,116,xy11,116,filename,xy11:116
stellar-crown,175,sv7,175,filename,sv7:175
temporal-forces,218,sv5,218,filename,sv5:218
