folder,raw_set_id,resolved_set_id,status
151,sv3-5,sv03.5,resolved
ancient-origins,xy7,xy7,resolved
aquapolis,ecard2,ecard2,resolved
arceus,pl4,pl4,resolved
astral-radiance,swsh10,swsh10,resolved
best-of-game,bog,bog,resolved
black-bolt,zsv10-5,sv10.5b,resolved
boundaries-crossed,bw7,bw7,resolved
box-topper,,,unresolved
breakpoint,xy9,xy9,resolved
breakthrough,xy8,xy8,resolved
brilliant-stars,swsh9,swsh9,resolved
burning-shadows,sm3,sm3,resolved
call-of-legends,col,col1,resolved
celebrations,ann25th,cel25,resolved
celestial-storm,sm7,sm7,resolved
champions-path,cp,swsh3.5,resolved
chilling-reign,swsh6,swsh6,resolved
crimson-invasion,sm4,sm4,resolved
crown-zenith,cz,swsh12.5,resolved
crystal-guardians,ex14,ex14,resolved
dark-explorers,bw5,bw5,resolved
darkness-ablaze,swsh3,swsh3,resolved
delta-species,ex11,ex11,resolved
deoxys,ex08,ex8,resolved
destined-rivals,sv10,sv10,resolved
detective-pikachu,gum,det1,resolved
double-crisis,tatm,dc1,resolved
emerald,ex9,ex9,resolved
emerging-powers,bw2,bw2,resolved
evolutions,xy12,xy12,resolved
evolving-skies,swsh7,swsh7,resolved
expedition,,ecard1,resolved
fates-collide,xy10,xy10,resolved
firered-leafgreen,ex06,ex6,resolved
flashfire,xy2,xy2,resolved
forbidden-light,sm6,sm6,resolved
fossil,base3,base3,resolved
furious-fists,xy3,xy3,resolved
holon-phantoms,ex13,ex13,resolved
hs-energy-2010-unnumbered,,,unresolved
journey-together,sv9,sv09,resolved
jungle,base2,base2,resolved
kalos-starter-set,xy0,xy0,resolved
majestic-dawn,dp5,dp5,resolved
mee,mee,mee,unresolved
mega-evolution,me1,me01,resolved
mega-evolution-promos,mebsp,mep,resolved
miscellaneous,,,unresolved
mysterious-treasures,dp2,dp2,resolved
next-destinies,bw4,bw4,resolved
platinum,pl1,pl1,resolved
pokemon-futsal-promos-2020,fut2020,fut2020,resolved
power-keepers,ex16,ex16,resolved
primal-clash,xy5,xy5,resolved
prismatic-evolutions,sv8-5,sv08.5,resolved
rebel-clash,swsh2,swsh2,resolved
rising-rivals,pl2,pl2,resolved
roaring-skies,xy6,xy6,resolved
ruby-sapphire,ex1,ex1,resolved
rumble,,ru1,resolved
sandstorm,ex2,ex2,resolved
scarlet-violet,sv1,sv01,resolved
scarlet-violet-energy,sve,,unresolved
scarlet-violet-promos,svbsp,svp,resolved
secret-wonders,dp3,dp3,resolved
southern-islands,si1,si1,resolved
steam-siege,xy11,xy11,resolved
stellar-crown,sv7,sv07,resolved
temporal-forces,sv5,sv05,resolved
