card_id,image_url
pl3-1,https://images.pokemontcg.io/pl3/1_hires.png
ex12-1,https://images.pokemontcg.io/ex12/1_hires.png
xy5-1,https://images.pokemontcg.io/xy5/1_hires.png
mcd19-1,https://images.pokemontcg.io/mcd19/1_hires.png
ex7-1,https://images.pokemontcg.io/ex7/1_hires.png
det1-1,https://images.pokemontcg.io/det1/1_hires.png
ru1-1,https://images.pokemontcg.io/ru1/1_hires.png
ex3-1,https://images.pokemontcg.io/ex3/1_hires.png
hgss4-1,https://images.pokemontcg.io/hgss4/1_hires.png
ex11-1,https://images.pokemontcg.io/ex11/1_hires.png
base4-1,https://images.pokemontcg.io/base4/1_hires.png
pl1-1,https://images.pokemontcg.io/pl1/1_hires.png
dv1-1,https://images.pokemontcg.io/dv1/1_hires.png
dp3-1,https://images.pokemontcg.io/dp3/1_hires.png
ecard2-H1,https://images.pokemontcg.io/ecard2/H1_hires.png
hgss1-1,https://images.pokemontcg.io/hgss1/1_hires.png
gym1-1,https://images.pokemontcg.io/gym1/1_hires.png
base3-1,https://images.pokemontcg.io/base3/1_hires.png
sm9-1,https://images.pokemontcg.io/sm9/1_hires.png
xy2-1,https://images.pokemontcg.io/xy2/1_hires.png
pop6-1,https://images.pokemontcg.io/pop6/1_hires.png
pl1-2,https://images.pokemontcg.io/pl1/2_hires.png
xy2-2,https://images.pokemontcg.io/xy2/2_hires.png
ecard2-H2,https://images.pokemontcg.io/ecard2/H2_hires.png
hgss4-2,https://images.pokemontcg.io/hgss4/2_hires.png
pop6-2,https://images.pokemontcg.io/pop6/2_hires.png
base3-2,https://images.pokemontcg.io/base3/2_hires.png
ex3-2,https://images.pokemontcg.io/ex3/2_hires.png
base4-2,https://images.pokemontcg.io/base4/2_hires.png
pl3-2,https://images.pokemontcg.io/pl3/2_hires.png
ex11-2,https://images.pokemontcg.io/ex11/2_hires.png
dp3-2,https://images.pokemontcg.io/dp3/2_hires.png
sm9-2,https://images.pokemontcg.io/sm9/2_hires.png
ru1-2,https://images.pokemontcg.io/ru1/2_hires.png
gym1-2,https://images.pokemontcg.io/gym1/2_hires.png
xy5-2,https://images.pokemontcg.io/xy5/2_hires.png
ex7-2,https://images.pokemontcg.io/ex7/2_hires.png
det1-2,https://images.pokemontcg.io/det1/2_hires.png
mcd19-2,https://images.pokemontcg.io/mcd19/2_hires.png
ex12-2,https://images.pokemontcg.io/ex12/2_hires.png
hgss1-2,https://images.pokemontcg.io/hgss1/2_hires.png
ex14-1,https://images.pokemontcg.io/ex14/1_hires.png
xy11-1,https://images.pokemontcg.io/xy11/1_hires.png
sm12-1,https://images.pokemontcg.io/sm12/1_hires.png
swsh35-1,https://images.pokemontcg.io/swsh35/1_hires.png
sm3-1,https://images.pokemontcg.io/sm3/1_hires.png
xy7-1,https://images.pokemontcg.io/xy7/1_hires.png
ex9-1,https://images.pokemontcg.io/ex9/1_hires.png
sm115-1,https://images.pokemontcg.io/sm115/1_hires.png
sm1-1,https://images.pokemontcg.io/sm1/1_hires.png
dp1-1,https://images.pokemontcg.io/dp1/1_hires.png
pop7-1,https://images.pokemontcg.io/pop7/1_hires.png
si1-1,https://images.pokemontcg.io/si1/1_hires.png
col1-1,https://images.pokemontcg.io/col1/1_hires.png
bw1-1,https://images.pokemontcg.io/bw1/1_hires.png
ex13-1,https://images.pokemontcg.io/ex13/1_hires.png
gym2-1,https://images.pokemontcg.io/gym2/1_hires.png
bw10-1,https://images.pokemontcg.io/bw10/1_hires.png
dv1-2,https://images.pokemontcg.io/dv1/2_hires.png
bw10-2,https://images.pokemontcg.io/bw10/2_hires.png
si1-2,https://images.pokemontcg.io/si1/2_hires.png
ex11-3,https://images.pokemontcg.io/ex11/3_hires.png
bw1-2,https://images.pokemontcg.io/bw1/2_hires.png
dv1-3,https://images.pokemontcg.io/dv1/3_hires.png
pl3-3,https://images.pokemontcg.io/pl3/3_hires.png
xy2-3,https://images.pokemontcg.io/xy2/3_hires.png
ex12-3,https://images.pokemontcg.io/ex12/3_hires.png
swsh35-2,https://images.pokemontcg.io/swsh35/2_hires.png
det1-3,https://images.pokemontcg.io/det1/3_hires.png
base3-3,https://images.pokemontcg.io/base3/3_hires.png
xy7-2,https://images.pokemontcg.io/xy7/2_hires.png
sm9-3,https://images.pokemontcg.io/sm9/3_hires.png
ex3-3,https://images.pokemontcg.io/ex3/3_hires.png
gym2-2,https://images.pokemontcg.io/gym2/2_hires.png
ex9-2,https://images.pokemontcg.io/ex9/2_hires.png
pl1-3,https://images.pokemontcg.io/pl1/3_hires.png
hgss1-3,https://images.pokemontcg.io/hgss1/3_hires.png
ecard2-H3,https://images.pokemontcg.io/ecard2/H3_hires.png
ex7-3,https://images.pokemontcg.io/ex7/3_hires.png
xy5-3,https://images.pokemontcg.io/xy5/3_hires.png
sm12-2,https://images.pokemontcg.io/sm12/2_hires.png
ru1-3,https://images.pokemontcg.io/ru1/3_hires.png
ex13-2,https://images.pokemontcg.io/ex13/2_hires.png
mcd19-3,https://images.pokemontcg.io/mcd19/3_hires.png
col1-2,https://images.pokemontcg.io/col1/2_hires.png
pop6-3,https://images.pokemontcg.io/pop6/3_hires.png
base4-3,https://images.pokemontcg.io/base4/3_hires.png
hgss4-3,https://images.pokemontcg.io/hgss4/3_hires.png
pop7-2,https://images.pokemontcg.io/pop7/2_hires.png
xy11-2,https://images.pokemontcg.io/xy11/2_hires.png
sm2-1,https://images.pokemontcg.io/sm2/1_hires.png
dp3-3,https://images.pokemontcg.io/dp3/3_hires.png
sm115-2,https://images.pokemontcg.io/sm115/2_hires.png
sm1-2,https://images.pokemontcg.io/sm1/2_hires.png
gym1-3,https://images.pokemontcg.io/gym1/3_hires.png
hgss2-1,https://images.pokemontcg.io/hgss2/1_hires.png
pop5-1,https://images.pokemontcg.io/pop5/1_hires.png
bw5-1,https://images.pokemontcg.io/bw5/1_hires.png
neo4-1,https://images.pokemontcg.io/neo4/1_hires.png
sm8-1,https://images.pokemontcg.io/sm8/1_hires.png
base1-1,https://images.pokemontcg.io/base1/1_hires.png
basep-1,https://images.pokemontcg.io/basep/1_hires.png
xy4-1,https://images.pokemontcg.io/xy4/1_hires.png
sm5-1,https://images.pokemontcg.io/sm5/1_hires.png
pop1-1,https://images.pokemontcg.io/pop1/1_hires.png
pop9-1,https://images.pokemontcg.io/pop9/1_hires.png
xy1-1,https://images.pokemontcg.io/xy1/1_hires.png
ex4-1,https://images.pokemontcg.io/ex4/1_hires.png
base6-1,https://images.pokemontcg.io/base6/1_hires.png
pop4-1,https://images.pokemontcg.io/pop4/1_hires.png
base5-1,https://images.pokemontcg.io/base5/1_hires.png
pl4-1,https://images.pokemontcg.io/pl4/1_hires.png
dp4-1,https://images.pokemontcg.io/dp4/1_hires.png
bw11-1,https://images.pokemontcg.io/bw11/1_hires.png
dpp-DP01,https://images.pokemontcg.io/dpp/DP01_hires.png
pop3-1,https://images.pokemontcg.io/pop3/1_hires.png
bw4-1,https://images.pokemontcg.io/bw4/1_hires.png
xy10-1,https://images.pokemontcg.io/xy10/1_hires.png
ex8-1,https://images.pokemontcg.io/ex8/1_hires.png
bw7-1,https://images.pokemontcg.io/bw7/1_hires.png
swsh1-1,https://images.pokemontcg.io/swsh1/1_hires.png
bw8-1,https://images.pokemontcg.io/bw8/1_hires.png
bw9-1,https://images.pokemontcg.io/bw9/1_hires.png
swsh4-1,https://images.pokemontcg.io/swsh4/1_hires.png
neo3-1,https://images.pokemontcg.io/neo3/1_hires.png
base4-4,https://images.pokemontcg.io/base4/4_hires.png
pop7-3,https://images.pokemontcg.io/pop7/3_hires.png
ex8-2,https://images.pokemontcg.io/ex8/2_hires.png
ecard2-H4,https://images.pokemontcg.io/ecard2/H4_hires.png
pop6-4,https://images.pokemontcg.io/pop6/4_hires.png
sm115-3,https://images.pokemontcg.io/sm115/3_hires.png
dp3-4,https://images.pokemontcg.io/dp3/4_hires.png
pl1-4,https://images.pokemontcg.io/pl1/4_hires.png
swsh35-3,https://images.pokemontcg.io/swsh35/3_hires.png
hgss1-4,https://images.pokemontcg.io/hgss1/4_hires.png
pop3-2,https://images.pokemontcg.io/pop3/2_hires.png
base5-2,https://images.pokemontcg.io/base5/2_hires.png
ex3-4,https://images.pokemontcg.io/ex3/4_hires.png
pl4-2,https://images.pokemontcg.io/pl4/2_hires.png
pop9-2,https://images.pokemontcg.io/pop9/2_hires.png
dp1-2,https://images.pokemontcg.io/dp1/2_hires.png
pop5-2,https://images.pokemontcg.io/pop5/2_hires.png
ex13-3,https://images.pokemontcg.io/ex13/3_hires.png
bw5-2,https://images.pokemontcg.io/bw5/2_hires.png
sm2-2,https://images.pokemontcg.io/sm2/2_hires.png
ex4-2,https://images.pokemontcg.io/ex4/2_hires.png
base6-2,https://images.pokemontcg.io/base6/2_hires.png
dp4-2,https://images.pokemontcg.io/dp4/2_hires.png
xy1-2,https://images.pokemontcg.io/xy1/2_hires.png
bw10-3,https://images.pokemontcg.io/bw10/3_hires.png
xy11-3,https://images.pokemontcg.io/xy11/3_hires.png
xy2-4,https://images.pokemontcg.io/xy2/4_hires.png
bw7-2,https://images.pokemontcg.io/bw7/2_hires.png
col1-3,https://images.pokemontcg.io/col1/3_hires.png
bw4-2,https://images.pokemontcg.io/bw4/2_hires.png
mcd19-4,https://images.pokemontcg.io/mcd19/4_hires.png
gym2-3,https://images.pokemontcg.io/gym2/3_hires.png
si1-3,https://images.pokemontcg.io/si1/3_hires.png
ex12-4,https://images.pokemontcg.io/ex12/4_hires.png
xy7-3,https://images.pokemontcg.io/xy7/3_hires.png
sm5-2,https://images.pokemontcg.io/sm5/2_hires.png
neo4-2,https://images.pokemontcg.io/neo4/2_hires.png
ex11-4,https://images.pokemontcg.io/ex11/4_hires.png
dv1-4,https://images.pokemontcg.io/dv1/4_hires.png
sm3-2,https://images.pokemontcg.io/sm3/2_hires.png
det1-4,https://images.pokemontcg.io/det1/4_hires.png
pop1-2,https://images.pokemontcg.io/pop1/2_hires.png
hgss4-4,https://images.pokemontcg.io/hgss4/4_hires.png
bw11-2,https://images.pokemontcg.io/bw11/2_hires.png
pop4-2,https://images.pokemontcg.io/pop4/2_hires.png
sm9-4,https://images.pokemontcg.io/sm9/4_hires.png
bw8-2,https://images.pokemontcg.io/bw8/2_hires.png
xy4-2,https://images.pokemontcg.io/xy4/2_hires.png
base3-4,https://images.pokemontcg.io/base3/4_hires.png
dpp-DP02,https://images.pokemontcg.io/dpp/DP02_hires.png
ex9-3,https://images.pokemontcg.io/ex9/3_hires.png
swsh1-2,https://images.pokemontcg.io/swsh1/2_hires.png
sm75-1,https://images.pokemontcg.io/sm75/1_hires.png
ex10-1,https://images.pokemontcg.io/ex10/1_hires.png
bw6-1,https://images.pokemontcg.io/bw6/1_hires.png
ex11-5,https://images.pokemontcg.io/ex11/5_hires.png
sm12-3,https://images.pokemontcg.io/sm12/3_hires.png
ex3-5,https://images.pokemontcg.io/ex3/5_hires.png
pl1-5,https://images.pokemontcg.io/pl1/5_hires.png
pop4-3,https://images.pokemontcg.io/pop4/3_hires.png
bw4-3,https://images.pokemontcg.io/bw4/3_hires.png
ex8-3,https://images.pokemontcg.io/ex8/3_hires.png
dp3-5,https://images.pokemontcg.io/dp3/5_hires.png
swsh4-2,https://images.pokemontcg.io/swsh4/2_hires.png
xy5-4,https://images.pokemontcg.io/xy5/4_hires.png
ex4-3,https://images.pokemontcg.io/ex4/3_hires.png
dv1-5,https://images.pokemontcg.io/dv1/5_hires.png
dp4-3,https://images.pokemontcg.io/dp4/3_hires.png
hgss4-5,https://images.pokemontcg.io/hgss4/5_hires.png
sm75-2,https://images.pokemontcg.io/sm75/2_hires.png
