name,number,tcgplayer_market_price_usd,api_price_usd,delta_usd,matched,notes
Squirtle - 007/165,007,0.18,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Gengar,094,2.01,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Blastoise ex - 009/165,009,1.44,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
151 Booster Pack,,24.64,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Mewtwo,150,1.23,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Ditto,132,0.4,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Venusaur ex - 003/165,003,1.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Dragonite,149,0.5,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Psyduck - 054/165,054,0.17,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Bulbasaur - 001/165,001,0.21,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
