Pokemon,Card Type,Generation,Card Number,Price
AMPHAROS,REVERSE HOLO,AQUAPOLIS,001 OF 147,2.95
AMPHAROS,STANDARD,AQUAPOLIS,001 OF 147,2.5
ARCANINE,REVERSE HOLO,AQUAPOLIS,002 OF 147,3.95
ARCANINE,STANDARD,AQUAPOLIS,002 OF 147,2.95
ARIADOS,REVERSE HOLO,AQUAPOLIS,003 OF 147,2.5
ARIADOS,STANDARD,AQUAPOLIS,003 OF 147,1.5
AZUMARILL,REVERSE HOLO,AQUAPOLIS,004 OF 147,2.95
AZUMARILL,STANDARD,AQUAPOLIS,004 OF 147,1.95
BELLOSSOM,REVERSE HOLO,AQUAPOLIS,005 OF 147,2.95
BELLOSSOM,STANDARD,AQUAPOLIS,005 OF 147,1.95
BLISSEY,REVERSE HOLO,AQUAPOLIS,006 OF 147,2.95
BLISSEY,STANDARD,AQUAPOLIS,006 OF 147,1.95
DONPHAN,REVERSE HOLO,AQUAPOLIS,007 OF 147,3.95
DONPHAN,STANDARD,AQUAPOLIS,007 OF 147,2.95
ELECTRODE,REVERSE HOLO,AQUAPOLIS,008 OF 147,2.5
ELECTRODE,STANDARD,AQUAPOLIS,008 OF 147,1.5
ELEKID,REVERSE HOLO,AQUAPOLIS,009 OF 147,3.5
ELEKID,STANDARD,AQUAPOLIS,009 OF 147,2.5
ENTEI,REVERSE HOLO,AQUAPOLIS,010 OF 147,4.95
ENTEI,STANDARD,AQUAPOLIS,010 OF 147,3.95
ESPEON,REVERSE HOLO,AQUAPOLIS,011 OF 147,4.95
ESPEON,STANDARD,AQUAPOLIS,011 OF 147,3.95
EXEGGUTOR,REVERSE HOLO,AQUAPOLIS,012 OF 147,2.5
EXEGGUTOR,STANDARD,AQUAPOLIS,012 OF 147,1.5
EXEGGUTOR,REVERSE HOLO,AQUAPOLIS,013 OF 147,2.5
EXEGGUTOR,STANDARD,AQUAPOLIS,013 OF 147,1.5
HOUNDOOM,REVERSE HOLO,AQUAPOLIS,014 OF 147,4.95
HOUNDOOM,STANDARD,AQUAPOLIS,014 OF 147,3.95
HOUNDOOM,REVERSE HOLO,AQUAPOLIS,015 OF 147,3.95
HOUNDOOM,STANDARD,AQUAPOLIS,015 OF 147,2.95
HYPNO,REVERSE HOLO,AQUAPOLIS,016 OF 147,2.95
HYPNO,STANDARD,AQUAPOLIS,016 OF 147,1.95
JUMPLUFF,REVERSE HOLO,AQUAPOLIS,017 OF 147,2.95
JUMPLUFF,STANDARD,AQUAPOLIS,017 OF 147,1.95
JYNX,REVERSE HOLO,AQUAPOLIS,018 OF 147,2.5
JYNX,STANDARD,AQUAPOLIS,018 OF 147,1.5
KINGDRA,REVERSE HOLO,AQUAPOLIS,019 OF 147,3.95
KINGDRA,STANDARD,AQUAPOLIS,019 OF 147,2.95
LANTURN,REVERSE HOLO,AQUAPOLIS,020 OF 147,2.5
LANTURN,STANDARD,AQUAPOLIS,020 OF 147,1.5
LANTURN,REVERSE HOLO,AQUAPOLIS,021 OF 147,2.5
LANTURN,STANDARD,AQUAPOLIS,021 OF 147,1.5
MAGNETON,REVERSE HOLO,AQUAPOLIS,022 OF 147,2.5
MAGNETON,STANDARD,AQUAPOLIS,022 OF 147,1.5
MUK,REVERSE HOLO,AQUAPOLIS,023 OF 147,2.5
MUK,STANDARD,AQUAPOLIS,023 OF 147,1.5
NIDOKING,REVERSE HOLO,AQUAPOLIS,024 OF 147,2.5
NIDOKING,STANDARD,AQUAPOLIS,024 OF 147,1.5
NINETALES,REVERSE HOLO,AQUAPOLIS,025 OF 147,2.5
NINETALES,STANDARD,AQUAPOLIS,025 OF 147,1.5
