group_key,group_title,card_id,name,set_id,set_name,card_number,price_usd,price_status,selected_by_gpt,selected_in_final_response,score_100,pokemon_weight,set_weight,rarity_weight,alignment_score,budget_score,rank_in_group_pool,card_label
pokemon_affinity,Pokemon Affinity,xy7-22,Vaporeon,xy7,Ancient Origins,22,,unknown,True,True,74.0,1.0,1.0,0.0,0.8,0.5,1,Vaporeon (Ancient Origins #22)
pokemon_affinity,Pokemon Affinity,sv03.5-183,Charizard ex,sv03.5,151,183,,unknown,True,True,70.0,1.0,0.666667,0.25,0.75,0.5,2,Charizard ex (151 #183)
pokemon_affinity,Pokemon Affinity,sv03.5-006,Charizard ex,sv03.5,151,006,,unknown,True,True,66.0,1.0,0.666667,0.0,0.7,0.5,3,Charizard ex (151 #006)
pokemon_affinity,Pokemon Affinity,sv03.5-134,Vaporeon,sv03.5,151,134,,unknown,True,True,66.0,1.0,0.666667,0.0,0.7,0.5,4,Vaporeon (151 #134)
pokemon_affinity,Pokemon Affinity,sv08.5-022,Vaporeon,sv08.5,Prismatic Evolutions,022,,unknown,True,True,66.0,1.0,0.666667,0.0,0.7,0.5,5,Vaporeon (Prismatic Evolutions #022)
pokemon_affinity,Pokemon Affinity,sv08.5-023,Vaporeon ex,sv08.5,Prismatic Evolutions,023,,unknown,False,False,66.0,1.0,0.666667,0.0,0.7,0.5,6,Vaporeon ex (Prismatic Evolutions #023)
pokemon_affinity,Pokemon Affinity,sv03.5-184,Blastoise ex,sv03.5,151,184,,unknown,False,False,50.0,0.5,0.666667,0.25,0.5,0.5,7,Blastoise ex (151 #184)
set_affinity,Set Affinity,xy7-22,Vaporeon,xy7,Ancient Origins,22,,unknown,False,False,74.0,1.0,1.0,0.0,0.8,0.5,1,Vaporeon (Ancient Origins #22)
set_affinity,Set Affinity,sv03.5-183,Charizard ex,sv03.5,151,183,,unknown,False,False,64.67,1.0,0.666667,0.25,0.683333,0.5,2,Charizard ex (151 #183)
set_affinity,Set Affinity,xy7-99,Energy Retrieval,xy7,Ancient Origins,99,,unknown,True,True,62.0,0.0,1.0,0.75,0.65,0.5,3,Energy Retrieval (Ancient Origins #99)
set_affinity,Set Affinity,sv03.5-006,Charizard ex,sv03.5,151,006,,unknown,False,False,60.67,1.0,0.666667,0.0,0.633333,0.5,4,Charizard ex (151 #006)
set_affinity,Set Affinity,sv03.5-134,Vaporeon,sv03.5,151,134,,unknown,False,False,60.67,1.0,0.666667,0.0,0.633333,0.5,5,Vaporeon (151 #134)
set_affinity,Set Affinity,sv08.5-022,Vaporeon,sv08.5,Prismatic Evolutions,022,,unknown,False,False,60.67,1.0,0.666667,0.0,0.633333,0.5,6,Vaporeon (Prismatic Evolutions #022)
set_affinity,Set Affinity,sv08.5-023,Vaporeon ex,sv08.5,Prismatic Evolutions,023,,unknown,True,True,60.67,1.0,0.666667,0.0,0.633333,0.5,7,Vaporeon ex (Prismatic Evolutions #023)
set_affinity,Set Affinity,xy7-27,Ampharos EX,xy7,Ancient Origins,27,,unknown,True,True,54.0,0.0,1.0,0.25,0.55,0.5,8,Ampharos EX (Ancient Origins #27)
set_affinity,Set Affinity,xy7-87,Ampharos EX,xy7,Ancient Origins,87,,unknown,True,True,54.0,0.0,1.0,0.25,0.55,0.5,9,Ampharos EX (Ancient Origins #87)
set_affinity,Set Affinity,xy7-57,Giratina EX,xy7,Ancient Origins,57,,unknown,True,True,54.0,0.0,1.0,0.25,0.55,0.5,10,Giratina EX (Ancient Origins #57)
rarity_affinity,Rarity Affinity,xy7-99,Energy Retrieval,xy7,Ancient Origins,99,,unknown,False,False,64.0,0.0,1.0,0.75,0.675,0.5,1,Energy Retrieval (Ancient Origins #99)
rarity_affinity,Rarity Affinity,sv03.5-183,Charizard ex,sv03.5,151,183,,unknown,False,False,52.0,1.0,0.666667,0.25,0.525,0.5,2,Charizard ex (151 #183)
rarity_affinity,Rarity Affinity,xy7-27,Ampharos EX,xy7,Ancient Origins,27,,unknown,False,False,44.0,0.0,1.0,0.25,0.425,0.5,3,Ampharos EX (Ancient Origins #27)
rarity_affinity,Rarity Affinity,xy7-87,Ampharos EX,xy7,Ancient Origins,87,,unknown,False,False,44.0,0.0,1.0,0.25,0.425,0.5,4,Ampharos EX (Ancient Origins #87)
rarity_affinity,Rarity Affinity,sv03.5-184,Blastoise ex,sv03.5,151,184,,unknown,True,True,44.0,0.5,0.666667,0.25,0.425,0.5,5,Blastoise ex (151 #184)
rarity_affinity,Rarity Affinity,xy7-57,Giratina EX,xy7,Ancient Origins,57,,unknown,False,False,44.0,0.0,1.0,0.25,0.425,0.5,6,Giratina EX (Ancient Origins #57)
rarity_affinity,Rarity Affinity,xy7-93,Giratina EX,xy7,Ancient Origins,93,,unknown,True,True,44.0,0.0,1.0,0.25,0.425,0.5,7,Giratina EX (Ancient Origins #93)
